SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
2019,9,16,월,ARP1,ARP5,J,J1609,A,16:30,,
2019,9,16,월,ARP5,ARP1,J,J1609,D,15:30,,
2019,9,16,월,ARP5,ARP1,J,J1610,A,18:10,,
2019,9,16,월,ARP1,ARP5,J,J1610,D,17:10,,
2019,9,16,월,ARP1,ARP8,A,A1704,A,11:55,,
2019,9,16,월,ARP8,ARP1,A,A1704,D,11:00,,
2019,9,16,월,ARP1,ARP5,J,J1611,A,19:50,,
2019,9,16,월,ARP5,ARP1,J,J1611,D,18:50,,
2019,9,16,월,ARP8,ARP1,A,A1707,A,16:50,,
2019,9,16,월,ARP1,ARP8,A,A1707,D,16:00,,
2019,9,16,월,ARP1,ARP8,A,A1708,A,18:10,,
2019,9,16,월,ARP8,ARP1,A,A1708,D,17:20,,
2019,9,16,월,ARP9,ARP1,J,J1336,A,18:10,,
2019,9,16,월,ARP1,ARP9,J,J1336,D,17:10,,
2019,9,16,월,ARP5,ARP1,J,J1612,A,21:05,,
2019,9,16,월,ARP1,ARP5,J,J1612,D,20:05,,
2019,9,16,월,ARP9,ARP1,A,A1733,A,13:30,,
2019,9,16,월,ARP1,ARP9,A,A1733,D,12:35,,
2019,9,16,월,ARP1,ARP9,J,J1337,A,19:50,,
2019,9,16,월,ARP9,ARP1,J,J1337,D,18:50,,
2019,9,16,월,ARP12,ARP1,J,J1634,A,7:50,,
2019,9,16,월,ARP1,ARP12,J,J1634,D,6:50,,
2019,9,16,월,ARP1,ARP12,J,J1635,A,9:25,,
2019,9,16,월,ARP12,ARP1,J,J1635,D,8:25,,
2019,9,16,월,ARP1,ARP9,A,A1734,A,15:00,,
2019,9,16,월,ARP9,ARP1,A,A1734,D,14:05,,
2019,9,16,월,ARP5,ARP1,B,B1891,A,8:10,,
2019,9,16,월,ARP1,ARP5,B,B1891,D,7:10,,
2019,9,16,월,ARP12,ARP1,J,J1636,A,19:30,,
2019,9,16,월,ARP1,ARP12,J,J1636,D,18:30,,
2019,9,16,월,ARP9,ARP1,A,A1735,A,17:15,,
2019,9,16,월,ARP1,ARP9,A,A1735,D,16:20,,
2019,9,16,월,ARP1,ARP5,B,B1892,A,13:35,,
2019,9,16,월,ARP5,ARP1,B,B1892,D,12:35,,
2019,9,16,월,ARP1,ARP9,A,A1736,A,18:45,,
2019,9,16,월,ARP9,ARP1,A,A1736,D,17:50,,
2019,9,16,월,ARP11,ARP1,J,J1538,A,16:45,,
2019,9,16,월,ARP1,ARP11,J,J1538,D,15:50,,
2019,9,16,월,ARP1,ARP12,J,J1637,A,21:05,,
2019,9,16,월,ARP12,ARP1,J,J1637,D,20:05,,
2019,9,16,월,ARP5,ARP1,B,B1893,A,15:15,,
2019,9,16,월,ARP1,ARP5,B,B1893,D,14:15,,
2019,9,16,월,ARP1,ARP11,J,J1539,A,18:20,,
2019,9,16,월,ARP11,ARP1,J,J1539,D,17:25,,
2019,9,16,월,ARP1,ARP5,B,B1894,A,21:00,,
2019,9,16,월,ARP5,ARP1,B,B1894,D,20:00,,
2019,9,16,월,ARP1,ARP5,J,J1605,A,9:50,,
2019,9,16,월,ARP5,ARP1,J,J1605,D,8:50,,
2019,9,16,월,ARP5,ARP1,J,J1606,A,11:30,,
2019,9,16,월,ARP1,ARP5,J,J1606,D,10:30,,
2019,9,16,월,ARP2,ARP15,A,A1533,A,7:30,,
2019,9,16,월,ARP15,ARP2,A,A1533,D,6:30,,
2019,9,16,월,ARP1,ARP2,B,B1800,A,7:55,,
2019,9,16,월,ARP2,ARP1,B,B1800,D,7:00,,
2019,9,16,월,ARP1,ARP2,B,B1816,A,15:55,,
2019,9,16,월,ARP2,ARP1,B,B1816,D,15:00,,
2019,9,16,월,ARP2,ARP1,B,B1829,A,21:35,,
2019,9,16,월,ARP1,ARP2,B,B1829,D,20:30,,
2019,9,16,월,ARP2,ARP1,J,J1108,A,10:05,,
2019,9,16,월,ARP1,ARP2,J,J1108,D,9:00,,
2019,9,16,월,ARP2,ARP1,J,J1114,A,13:05,,
2019,9,16,월,ARP1,ARP2,J,J1114,D,12:00,,
2019,9,16,월,ARP1,ARP2,J,J1127,A,20:40,,
2019,9,16,월,ARP2,ARP1,J,J1127,D,19:40,,
2019,9,16,월,ARP15,ARP2,J,J1411,A,17:40,,
2019,9,16,월,ARP2,ARP15,J,J1411,D,16:30,,
2019,9,16,월,ARP1,ARP2,B,B1802,A,8:55,,
2019,9,16,월,ARP2,ARP1,B,B1802,D,8:00,,
2019,9,16,월,ARP2,ARP1,B,B1817,A,15:25,,
2019,9,16,월,ARP1,ARP2,B,B1817,D,14:30,,
2019,9,16,월,ARP1,ARP2,J,J1109,A,11:40,,
2019,9,16,월,ARP1,ARP2,J,J1115,A,14:40,,
2019,9,16,월,ARP2,ARP1,J,J1115,D,13:40,,
2019,9,16,월,ARP2,ARP1,J,J1128,A,20:05,,
2019,9,16,월,ARP1,ARP2,J,J1128,D,19:00,,
2019,9,16,월,ARP2,ARP10,M,M1351,A,14:30,,
2019,9,16,월,ARP10,ARP2,M,M1351,D,13:40,,
2019,9,16,월,ARP2,ARP1,J,J1116,A,14:05,,
2019,9,16,월,ARP1,ARP2,J,J1116,D,13:00,,
2019,9,16,월,ARP10,ARP2,M,M1352,A,16:05,,
2019,9,16,월,ARP2,ARP10,M,M1352,D,15:05,,
2019,9,16,월,ARP15,ARP2,A,A1534,A,17:00,,
2019,9,16,월,ARP2,ARP15,A,A1534,D,16:05,,
2019,9,16,월,ARP2,ARP1,B,B1803,A,8:25,,
2019,9,16,월,ARP1,ARP2,B,B1803,D,7:30,,
2019,9,16,월,ARP1,ARP2,B,B1818,A,16:55,,
2019,9,16,월,ARP2,ARP1,B,B1818,D,16:00,,
2019,9,16,월,ARP1,ARP2,B,B1804,A,9:55,,
2019,9,16,월,ARP2,ARP1,B,B1804,D,9:00,,
2019,9,16,월,ARP2,ARP1,B,B1819,A,16:25,,
2019,9,16,월,ARP1,ARP2,B,B1819,D,15:30,,
2019,9,16,월,ARP1,ARP2,J,J1117,A,15:40,,
2019,9,16,월,ARP2,ARP1,J,J1117,D,14:40,,
2019,9,16,월,ARP2,ARP1,B,B1805,A,9:25,,
2019,9,16,월,ARP1,ARP2,B,B1805,D,8:30,,
2019,9,16,월,ARP1,ARP2,B,B1820,A,17:55,,
2019,9,16,월,ARP2,ARP1,B,B1820,D,17:00,,
2019,9,16,월,ARP2,ARP1,J,J1118,A,15:05,,
2019,9,16,월,ARP1,ARP2,J,J1118,D,14:00,,
2019,9,16,월,ARP1,ARP2,B,B1806,A,10:55,,
2019,9,16,월,ARP2,ARP1,B,B1806,D,10:00,,
2019,9,16,월,ARP2,ARP1,B,B1821,A,17:25,,
2019,9,16,월,ARP1,ARP2,B,B1821,D,16:30,,
2019,9,16,월,ARP1,ARP2,J,J1119,A,16:40,,
2019,9,16,월,ARP2,ARP1,J,J1119,D,15:40,,
2019,9,16,월,ARP1,ARP2,J,J1129,A,21:40,,
2019,9,16,월,ARP2,ARP1,J,J1129,D,20:40,,
2019,9,16,월,ARP2,ARP1,J,J1130,A,21:05,,
2019,9,16,월,ARP1,ARP2,J,J1130,D,20:00,,
2019,9,16,월,ARP2,ARP1,B,B1807,A,10:25,,
2019,9,16,월,ARP1,ARP2,B,B1807,D,9:30,,
2019,9,16,월,ARP2,ARP1,J,J1120,A,16:05,,
2019,9,16,월,ARP1,ARP2,J,J1120,D,15:00,,
2019,9,16,월,ARP2,ARP15,J,J1404,A,9:30,,
2019,9,16,월,ARP15,ARP2,J,J1404,D,8:25,,
2019,9,16,월,ARP1,ARP2,B,B1822,A,18:55,,
2019,9,16,월,ARP2,ARP1,B,B1822,D,18:00,,
2019,9,16,월,ARP15,ARP2,J,J1405,A,8:10,,
2019,9,16,월,ARP2,ARP15,J,J1405,D,7:05,,
2019,9,16,월,ARP1,ARP2,B,B1808,A,11:55,,
2019,9,16,월,ARP2,ARP1,B,B1808,D,11:00,,
2019,9,16,월,ARP2,ARP1,B,B1823,A,18:25,,
2019,9,16,월,ARP1,ARP2,B,B1823,D,17:30,,
2019,9,16,월,ARP1,ARP2,J,J1121,A,17:40,,
2019,9,16,월,ARP2,ARP1,J,J1121,D,16:40,,
2019,9,16,월,ARP2,ARP1,B,B1809,A,11:25,,
2019,9,16,월,ARP1,ARP2,B,B1809,D,10:30,,
2019,9,16,월,ARP1,ARP2,B,B1824,A,19:55,,
2019,9,16,월,ARP2,ARP1,B,B1824,D,19:00,,
2019,9,16,월,ARP1,ARP2,J,J1103,A,8:00,,
2019,9,16,월,ARP2,ARP1,J,J1103,D,7:00,,
2019,9,16,월,ARP2,ARP1,J,J1109,D,10:40,,
2019,9,16,월,ARP2,ARP1,J,J1122,A,17:05,,
2019,9,16,월,ARP1,ARP2,J,J1122,D,16:00,,
2019,9,16,월,ARP2,ARP15,J,J1406,A,19:30,,
2019,9,16,월,ARP15,ARP2,J,J1406,D,18:25,,
2019,9,16,월,ARP2,ARP1,B,B1811,A,12:25,,
2019,9,16,월,ARP1,ARP2,B,B1811,D,11:30,,
2019,9,16,월,ARP2,ARP1,B,B1825,A,19:25,,
2019,9,16,월,ARP1,ARP2,B,B1825,D,18:30,,
2019,9,16,월,ARP2,ARP1,J,J1104,A,8:05,,
2019,9,16,월,ARP1,ARP2,J,J1104,D,7:00,,
2019,9,16,월,ARP2,ARP1,J,J1110,A,11:05,,
2019,9,16,월,ARP1,ARP2,J,J1110,D,10:00,,
2019,9,16,월,ARP1,ARP2,J,J1123,A,18:40,,
2019,9,16,월,ARP2,ARP1,J,J1123,D,17:40,,
2019,9,16,월,ARP15,ARP2,J,J1407,A,11:55,,
2019,9,16,월,ARP2,ARP15,J,J1407,D,10:50,,
2019,9,16,월,ARP1,ARP2,B,B1812,A,13:55,,
2019,9,16,월,ARP2,ARP1,B,B1812,D,13:00,,
2019,9,16,월,ARP1,ARP2,H,H1207,A,20:25,,
2019,9,16,월,ARP2,ARP1,H,H1207,D,19:30,,
2019,9,16,월,ARP1,ARP2,J,J1105,A,9:40,,
2019,9,16,월,ARP2,ARP1,J,J1105,D,8:40,,
2019,9,16,월,ARP1,ARP2,J,J1111,A,12:40,,
2019,9,16,월,ARP2,ARP1,J,J1124,A,18:05,,
2019,9,16,월,ARP1,ARP2,J,J1124,D,17:00,,
2019,9,16,월,ARP2,ARP15,J,J1408,A,18:20,,
2019,9,16,월,ARP15,ARP2,J,J1408,D,17:15,,
2019,9,16,월,ARP1,ARP2,B,B1826,A,20:55,,
2019,9,16,월,ARP2,ARP1,B,B1826,D,20:00,,
2019,9,16,월,ARP2,ARP1,J,J1111,D,11:40,,
2019,9,16,월,ARP2,ARP15,A,A1531,A,20:20,,
2019,9,16,월,ARP15,ARP2,A,A1531,D,19:20,,
2019,9,16,월,ARP2,ARP1,B,B1813,A,13:25,,
2019,9,16,월,ARP1,ARP2,B,B1813,D,12:30,,
2019,9,16,월,ARP2,ARP1,B,B1827,A,20:25,,
2019,9,16,월,ARP1,ARP2,B,B1827,D,19:30,,
2019,9,16,월,ARP2,ARP1,H,H1208,A,21:05,,
2019,9,16,월,ARP1,ARP2,H,H1208,D,19:50,,
2019,9,16,월,ARP2,ARP1,J,J1106,A,9:05,,
2019,9,16,월,ARP1,ARP2,J,J1106,D,8:00,,
2019,9,16,월,ARP2,ARP1,J,J1112,A,12:05,,
2019,9,16,월,ARP1,ARP2,J,J1112,D,11:00,,
2019,9,16,월,ARP1,ARP2,J,J1125,A,19:40,,
2019,9,16,월,ARP2,ARP1,J,J1125,D,18:40,,
2019,9,16,월,ARP15,ARP2,J,J1409,A,14:35,,
2019,9,16,월,ARP2,ARP15,J,J1409,D,13:30,,
2019,9,16,월,ARP2,ARP15,J,J1410,A,20:40,,
2019,9,16,월,ARP15,ARP2,J,J1410,D,19:35,,
2019,9,16,월,ARP15,ARP2,A,A1532,A,8:00,,
2019,9,16,월,ARP2,ARP15,A,A1532,D,7:00,,
2019,9,16,월,ARP1,ARP2,B,B1814,A,14:55,,
2019,9,16,월,ARP2,ARP1,B,B1814,D,14:00,,
2019,9,16,월,ARP1,ARP2,B,B1828,A,21:55,,
2019,9,16,월,ARP2,ARP1,B,B1828,D,21:00,,
2019,9,16,월,ARP1,ARP2,J,J1107,A,10:40,,
2019,9,16,월,ARP2,ARP1,J,J1107,D,9:40,,
2019,9,16,월,ARP1,ARP2,J,J1113,A,13:40,,
2019,9,16,월,ARP2,ARP1,J,J1113,D,12:40,,
2019,9,16,월,ARP2,ARP1,J,J1126,A,19:05,,
2019,9,16,월,ARP1,ARP2,J,J1126,D,18:00,,
2019,9,16,월,ARP3,ARP6,A,A1235,A,18:20,,
2019,9,16,월,ARP6,ARP3,A,A1235,D,17:10,,
2019,9,16,월,ARP1,ARP3,A,A1914,A,10:30,,
2019,9,16,월,ARP3,ARP1,A,A1914,D,9:20,,
2019,9,16,월,ARP3,ARP1,A,A1941,A,12:25,,
2019,9,16,월,ARP1,ARP3,A,A1941,D,11:15,,
2019,9,16,월,ARP3,ARP1,A,A1963,A,16:15,,
2019,9,16,월,ARP1,ARP3,A,A1963,D,15:05,,
2019,9,16,월,ARP3,ARP1,A,A1991,A,20:35,,
2019,9,16,월,ARP1,ARP3,A,A1991,D,19:20,,
2019,9,16,월,ARP3,ARP2,B,B1111,A,14:20,,
2019,9,16,월,ARP2,ARP3,B,B1111,D,13:20,,
2019,9,16,월,ARP3,ARP2,B,B1173,A,18:05,,
2019,9,16,월,ARP2,ARP3,B,B1173,D,17:00,,
2019,9,16,월,ARP3,ARP5,B,B1307,A,17:10,,
2019,9,16,월,ARP5,ARP3,B,B1307,D,16:00,,
2019,9,16,월,ARP3,ARP1,F,F1213,A,13:00,,
2019,9,16,월,ARP1,ARP3,F,F1213,D,11:50,,
2019,9,16,월,ARP1,ARP3,F,F1226,A,19:35,,
2019,9,16,월,ARP3,ARP1,F,F1226,D,18:25,,
2019,9,16,월,ARP3,ARP6,F,F1701,A,8:50,,
2019,9,16,월,ARP6,ARP3,F,F1701,D,7:50,,
2019,9,16,월,ARP1,ARP3,H,H1124,A,19:00,,
2019,9,16,월,ARP3,ARP1,H,H1124,D,17:50,,
2019,9,16,월,ARP3,ARP1,H,H1145,A,17:55,,
2019,9,16,월,ARP1,ARP3,H,H1145,D,16:55,,
2019,9,16,월,ARP1,ARP3,H,H1146,A,19:50,,
2019,9,16,월,ARP3,ARP1,H,H1146,D,18:40,,
2019,9,16,월,ARP3,ARP2,H,H1509,A,13:20,,
2019,9,16,월,ARP2,ARP3,H,H1509,D,12:20,,
2019,9,16,월,ARP3,ARP4,H,H1705,A,17:15,,
2019,9,16,월,ARP4,ARP3,H,H1705,D,16:05,,
2019,9,16,월,ARP1,ARP3,I,I1318,A,14:20,,
2019,9,16,월,ARP3,ARP1,I,I1318,D,13:05,,
2019,9,16,월,ARP3,ARP2,I,I1563,A,13:05,,
2019,9,16,월,ARP2,ARP3,I,I1563,D,12:05,,
2019,9,16,월,ARP3,ARP8,I,I1593,A,12:05,,
2019,9,16,월,ARP8,ARP3,I,I1593,D,11:15,,
2019,9,16,월,ARP2,ARP3,J,J1019,A,21:45,,
2019,9,16,월,ARP3,ARP2,J,J1019,D,20:45,,
2019,9,16,월,ARP1,ARP3,J,J1215,A,11:45,,
2019,9,16,월,ARP3,ARP1,J,J1215,D,10:35,,
2019,9,16,월,ARP3,ARP1,J,J1216,A,11:15,,
2019,9,16,월,ARP1,ARP3,J,J1216,D,10:05,,
2019,9,16,월,ARP3,ARP1,J,J1250,A,17:50,,
2019,9,16,월,ARP1,ARP3,J,J1250,D,16:40,,
2019,9,16,월,ARP6,ARP3,A,A1236,A,21:45,,
2019,9,16,월,ARP3,ARP1,A,A1915,A,9:05,,
2019,9,16,월,ARP1,ARP3,A,A1915,D,7:55,,
2019,9,16,월,ARP1,ARP3,B,B1024,A,21:20,,
2019,9,16,월,ARP3,ARP1,B,B1024,D,20:00,,
2019,9,16,월,ARP2,ARP3,B,B1182,A,14:25,,
2019,9,16,월,ARP3,ARP2,B,B1182,D,13:25,,
2019,9,16,월,ARP1,ARP3,F,F1214,A,14:05,,
2019,9,16,월,ARP3,ARP1,F,F1214,D,13:00,,
2019,9,16,월,ARP3,ARP1,F,F1227,A,19:20,,
2019,9,16,월,ARP1,ARP3,F,F1227,D,18:10,,
2019,9,16,월,ARP6,ARP3,F,F1702,A,9:00,,
2019,9,16,월,ARP3,ARP6,F,F1702,D,8:00,,
2019,9,16,월,ARP1,ARP3,H,H1108,A,12:00,,
2019,9,16,월,ARP3,ARP1,H,H1108,D,10:50,,
2019,9,16,월,ARP3,ARP1,H,H1125,A,17:15,,
2019,9,16,월,ARP1,ARP3,H,H1125,D,16:05,,
2019,9,16,월,ARP2,ARP3,H,H1510,A,16:35,,
2019,9,16,월,ARP3,ARP2,H,H1510,D,15:30,,
2019,9,16,월,ARP3,ARP1,I,I1319,A,14:50,,
2019,9,16,월,ARP1,ARP3,I,I1319,D,13:35,,
2019,9,16,월,ARP1,ARP3,I,I1338,A,22:20,,
2019,9,16,월,ARP3,ARP1,I,I1338,D,21:10,,
2019,9,16,월,ARP8,ARP3,I,I1594,A,19:55,,
2019,9,16,월,ARP3,ARP8,I,I1594,D,19:05,,
2019,9,16,월,ARP3,ARP2,J,J1020,A,20:10,,
2019,9,16,월,ARP2,ARP3,J,J1020,D,19:10,,
2019,9,16,월,ARP1,ARP3,J,J1233,A,15:40,,
2019,9,16,월,ARP3,ARP1,J,J1233,D,14:30,,
2019,9,16,월,ARP3,ARP1,J,J1268,A,22:10,,
2019,9,16,월,ARP1,ARP3,J,J1268,D,21:00,,
2019,9,16,월,ARP4,ARP3,J,J1803,A,8:05,,
2019,9,16,월,ARP3,ARP4,J,J1803,D,7:00,,
2019,9,16,월,ARP3,ARP6,A,A1236,D,20:35,,
2019,9,16,월,ARP1,ARP3,A,A1916,A,11:00,,
2019,9,16,월,ARP3,ARP1,A,A1916,D,9:50,,
2019,9,16,월,ARP3,ARP1,A,A1943,A,13:05,,
2019,9,16,월,ARP1,ARP3,A,A1943,D,11:50,,
2019,9,16,월,ARP1,ARP3,A,A1964,A,18:30,,
2019,9,16,월,ARP3,ARP1,A,A1964,D,17:20,,
2019,9,16,월,ARP3,ARP1,A,A1967,A,16:55,,
2019,9,16,월,ARP1,ARP3,A,A1967,D,15:45,,
2019,9,16,월,ARP1,ARP3,A,A1992,A,21:30,,
2019,9,16,월,ARP3,ARP1,A,A1992,D,20:20,,
2019,9,16,월,ARP1,ARP3,B,B1026,A,10:45,,
2019,9,16,월,ARP3,ARP1,B,B1026,D,9:40,,
2019,9,16,월,ARP2,ARP3,B,B1112,A,17:30,,
2019,9,16,월,ARP3,ARP2,B,B1112,D,16:30,,
2019,9,16,월,ARP3,ARP1,F,F1201,A,7:20,,
2019,9,16,월,ARP1,ARP3,F,F1201,D,6:10,,
2019,9,16,월,ARP1,ARP3,F,F1228,A,20:55,,
2019,9,16,월,ARP3,ARP1,F,F1228,D,19:45,,
2019,9,16,월,ARP3,ARP6,F,F1703,A,18:05,,
2019,9,16,월,ARP6,ARP3,F,F1703,D,17:05,,
2019,9,16,월,ARP1,ARP3,H,H1112,A,12:50,,
2019,9,16,월,ARP3,ARP1,H,H1112,D,11:40,,
2019,9,16,월,ARP3,ARP1,H,H1151,A,7:30,,
2019,9,16,월,ARP3,ARP1,H,H1147,A,21:45,,
2019,9,16,월,ARP1,ARP3,H,H1147,D,20:35,,
2019,9,16,월,ARP3,ARP2,H,H1511,A,15:35,,
2019,9,16,월,ARP2,ARP3,H,H1511,D,14:30,,
2019,9,16,월,ARP4,ARP3,H,H1706,A,19:10,,
2019,9,16,월,ARP3,ARP4,H,H1706,D,18:15,,
2019,9,16,월,ARP1,ARP3,I,I1320,A,15:00,,
